Days_Since_Inspection,Total_Safety_Complaints,Control_Metric,Turbulence_In_gforces,Cabin_Temperature,Accident_Type_Code,Max_Elevation,Violations,Adverse_Weather_Metric,Safety_Score,Output
14,22,71.28532361,0.272117562,78.04,2,31335.47682,3,0.424352083,49.22374429,0
10,27,72.28805834,0.423938695,84.54,2,26024.71106,2,0.352349973,62.46575342,1
13,16,66.36280766,0.3226044,78.86,7,39269.05393,3,0.003363907,63.05936073,1
11,9,74.70373747,0.33702921,81.79,3,42771.4992,1,0.211728167,48.08219178,0
13,25,47.94895169,0.541140281,77.16,3,35509.22852,2,0.176883368,26.48401826,0
15,0,73.33637192,0.432954201,78.63,2,29288.4481,1,0.394504816,43.33333333,0
15,10,62.8532361,0.314670754,88.04,4,32342.10935,0,0.058871556,22.00913242,0
18,4,60.80218778,0.548352687,83.48,4,22547.19524,2,0.040419359,24.70319635,0
5,40,69.2342753,0.335586729,78.24,2,45751.98341,0,0.619185763,54.84018265,1
6,4,57.42935278,0.465410025,79.56,1,37933.399,1,1.389295497,52.23744292,1
11,11,80.21877849,0.452788316,81.15,2,31463.56857,2,0.424911513,36.66666667,0
11,2,62.80765725,0.329095564,77.8,3,22570.0304,4,0.111873408,48.12785388,0
12,14,68.96080219,0.159604039,77.23,3,44697.86874,3,0.222510112,42.87671233,0
13,4,78.66909754,0.232088713,80.78,7,30882.72638,3,0.002567284,63.65296804,1
14,2,83.54603464,0.362993869,81.63,3,18915.50902,2,0.095805918,26.02739726,0
7,1,85.5515041,0.270314461,78.86,3,25083.65791,2,0.123761058,49.5890411,0
18,1,68.00364631,0.30962207,82.08,6,47893.71797,3,0.011241529,10.86757991,0
10,4,37.83044667,0.600282005,80.82,4,35910.20041,1,0.066514574,38.76712329,0
8,3,61.48587056,0.338111071,82.2,2,34354.11122,2,0.462514456,78.21917808,1
15,2,41.56791249,0.687191489,78.37,2,11503.38856,1,0.159784288,20.2283105,0
13,0,73.24521422,0.221991345,81.62,2,39835.71831,1,0.538862339,52.46575342,1
17,5,74.93163172,0.326571223,79.31,2,37435.5728,2,0.508486259,38.44748858,0
8,2,80.5834093,0.249759106,78.21,4,45783.52766,0,0.083991795,44.84018265,0
15,1,68.00364631,0.338471691,78.97,1,45541.23675,2,1.66486419,43.88127854,0
14,5,47.26526892,0.594872701,76.19,5,49288.63551,3,0.032437386,25.29680365,0
13,7,66.1349134,0.423217454,78.07,6,42607.0711,1,0.010606664,61.82648402,1
14,3,61.62260711,0.331980527,90.87,7,32342.31338,3,0.003022079,59.26940639,1
14,0,70.78395624,0.267790119,76.75,4,26538.32226,1,0.048625993,24.33789954,0
15,9,70.32816773,0.51229066,77.03,7,28451.0147,0,0.002915657,55.02283105,1
5,20,48.13126709,0.638147133,79.75,3,39150.6722,1,0.194869629,65.75342466,1
8,2,74.65815861,0.334504868,78.78,5,15868.44394,2,0.010774931,68.76712329,1
